Date_ID,Citizenship_ID,Location_ID,Number_of_Tourists
18,2,1,"193,994"
18,2,2,"302,759"
18,2,3,"46,891"
18,2,4,"199,115"
18,2,5,"36,912"
18,2,6,"2,209"
18,2,7,425
19,1,1,"700,063"
19,1,2,"249,544"
19,1,3,"18,566"
19,1,4,"34,410"
19,1,5,"184,293"
19,1,6,"8,190"
19,1,7,0
19,2,1,"196,580"
19,2,2,"459,680"
19,2,3,"70,798"
19,2,4,"235,148"
19,2,5,"49,448"
19,2,6,"2,384"
19,2,7,"1,168"
20,1,1,"753,006"
20,1,2,"233,204"
20,1,3,"15,356"
20,1,4,"26,747"
20,1,5,"185,021"
20,1,6,"8,055"
20,1,7,2
20,2,1,"174,901"
20,2,2,"176,998"
20,2,3,"26,620"
20,2,4,"107,005"
20,2,5,"36,945"
20,2,6,"1,665"
20,2,7,207
21,1,1,"549,151"
21,1,2,"156,248"
21,1,3,"10,601"
21,1,4,"21,026"
21,1,5,"104,902"
21,1,6,"4,172"
21,1,7,0
21,2,1,"167,864"
21,2,2,"167,277"
21,2,3,"21,835"
21,2,4,"122,269"
21,2,5,"34,591"
21,2,6,"1,830"
21,2,7,122
22,1,1,"514,167"
22,1,2,"144,030"
22,1,3,"8,990"
22,1,4,"20,892"
22,1,5,"83,852"
22,1,6,"3,127"
22,1,7,3
22,2,1,"201,472"
22,2,2,"157,775"
22,2,3,"21,032"
22,2,4,"136,283"
22,2,5,"29,516"
22,2,6,"1,897"
22,2,7,110
23,1,1,"668,700"
23,1,2,"154,218"
23,1,3,"9,217"
23,1,4,"26,823"
23,1,5,"80,583"
23,1,6,"2,531"
23,1,7,0
23,2,1,"236,892"
23,2,2,"169,315"
23,2,3,"25,163"
23,2,4,"143,610"
23,2,5,"26,360"
23,2,6,"1,631"
23,2,7,94
24,1,1,"591,366"
24,1,2,"127,494"
24,1,3,"8,416"
24,1,4,"17,786"
24,1,5,"59,444"
24,1,6,"3,505"
24,1,7,6
24,2,1,"253,599"
24,2,2,"164,744"
24,2,3,"28,089"
24,2,4,"168,056"
24,2,5,"36,042"
24,2,6,"2,003"
24,2,7,97
